account_name,account_type,region,bottles_sold_this_week,bottles_sold_last_week,returns_this_week,shelf_position,top_competitor_on_shelf,promo_spend_cop
Éxito Chapinero,Supermarket,Bogotá,187,142,3,Eye-level,Antioqueño,1200000
Éxito Usaquén,Supermarket,Bogotá,145,138,4,Eye-level,Nariño,800000
Carulla Cedritos,Supermarket,Bogotá,72,168,2,Bottom Shelf,Antioqueño,600000
Carulla Chicó,Supermarket,Bogotá,124,110,5,Top Shelf,Antioqueño,500000
Olímpica Plaza Central,Supermarket,Bogotá,98,89,3,Top Shelf,Cristal,400000
Tienda Don Pepe,Corner Store,Bogotá,22,37,11,Back Counter,Antioqueño,1800000
Tienda La Esquina,Corner Store,Bogotá,31,34,2,Bottom Shelf,Antioqueño,200000
Tienda El Paisa Bogotá,Corner Store,Bogotá,18,29,5,Back Counter,Nariño,1500000
Bar La Puerta Falsa,Bar,Bogotá,89,64,1,Eye-level,Nariño,150000
Bar Andrés Bogotá,Bar,Bogotá,72,68,2,Eye-level,Antioqueño,300000
Restaurante Criterion,Restaurant,Bogotá,54,48,1,Eye-level,Blanco del Valle,400000
Restaurante La Candelaria,Restaurant,Bogotá,41,52,3,Top Shelf,Antioqueño,600000
Éxito Poblado,Supermarket,Medellín,192,158,2,Eye-level,Nariño,1000000
Carulla Poblado,Supermarket,Medellín,178,139,3,Eye-level,Antioqueño,900000
Olímpica Medellín Centro,Supermarket,Medellín,142,121,4,Top Shelf,Antioqueño,700000
Tienda Don Berna,Corner Store,Medellín,48,41,1,Eye-level,Cristal,180000
Tienda El Paisa Medellín,Corner Store,Medellín,52,44,2,Top Shelf,Antioqueño,250000
Bar El Tibirí,Bar,Medellín,94,78,1,Eye-level,Néctar,200000
Bar Salón Málaga,Bar,Medellín,78,66,2,Eye-level,Antioqueño,150000
Bar Medellín Rock,Bar,Medellín,62,54,0,Top Shelf,Cristal,120000
Restaurante El Cielo,Restaurant,Medellín,68,58,1,Eye-level,Blanco del Valle,350000
Restaurante Hato Viejo,Restaurant,Medellín,55,46,2,Top Shelf,Antioqueño,280000
Éxito Cali Sur,Supermarket,Cali,118,135,4,Top Shelf,Blanco del Valle,900000
Carulla Cali Norte,Supermarket,Cali,98,112,6,Bottom Shelf,Blanco del Valle,800000
Olímpica Cali,Supermarket,Cali,142,119,3,Top Shelf,Blanco del Valle,400000
Tienda San Fernando,Corner Store,Cali,28,34,3,Back Counter,Blanco del Valle,1100000
Tienda El Peñón,Corner Store,Cali,24,31,2,Bottom Shelf,Blanco del Valle,150000
Bar La Topa Tolondra,Bar,Cali,58,72,2,Top Shelf,Blanco del Valle,220000
Bar Zaperoco,Bar,Cali,49,55,1,Top Shelf,Blanco del Valle,180000
Restaurante Platillos Voladores,Restaurant,Cali,38,44,2,Top Shelf,Blanco del Valle,240000
Éxito Barranquilla,Supermarket,Barranquilla,132,118,3,Top Shelf,Nariño,600000
Olímpica Buenavista,Supermarket,Barranquilla,108,102,4,Top Shelf,Nariño,500000
Tienda La Arenosa,Corner Store,Barranquilla,34,29,1,Top Shelf,Nariño,150000
Bar La Troja,Bar,Barranquilla,82,76,2,Eye-level,Nariño,250000
Bar Frogg,Bar,Barranquilla,67,71,3,Top Shelf,Cristal,300000
Restaurante Cucayo,Restaurant,Barranquilla,44,41,2,Top Shelf,Nariño,220000
Éxito Bocagrande,Supermarket,Cartagena,128,124,2,Top Shelf,Cristal,700000
Carulla Castillogrande,Supermarket,Cartagena,96,89,3,Top Shelf,Cristal,450000
Tienda Getsemaní,Corner Store,Cartagena,38,33,2,Top Shelf,Cristal,180000
Bar Café del Mar,Bar,Cartagena,91,82,1,Eye-level,Cristal,380000
Bar Havana Cartagena,Bar,Cartagena,74,69,2,Eye-level,Cristal,220000
Restaurante Carmen,Restaurant,Cartagena,58,51,1,Eye-level,Blanco del Valle,320000
